x,y,z,cp
-6.032673e-02,2.291977e-02,4.600534e+00,-1.075545e+00
-3.954720e-02,2.839640e-02,4.600553e+00,-1.038327e+00
-1.536064e-02,3.350772e-02,4.600576e+00,-1.026786e+00
1.195979e-02,3.786992e-02,4.600600e+00,-1.014525e+00
4.180842e-02,4.080860e-02,4.600627e+00,-9.886672e-01
7.323238e-02,4.116194e-02,4.600655e+00,-8.346679e-01
1.048975e-01,3.887911e-02,4.600682e+00,-5.700854e-01
1.354886e-01,3.552856e-02,4.600709e+00,-3.646097e-01
1.640315e-01,3.227020e-02,4.600735e+00,-2.414385e-01
1.898483e-01,2.927741e-02,4.600758e+00,-1.610124e-01
2.125749e-01,2.653827e-02,4.600778e+00,-9.831990e-02
2.321207e-01,2.396771e-02,4.600796e+00,-4.505271e-02
2.485915e-01,2.148537e-02,4.600811e+00,2.126797e-02
2.622431e-01,1.917732e-02,4.600824e+00,1.307545e-01
2.734390e-01,1.733655e-02,4.600835e+00,1.974017e-01
2.832371e-01,1.816315e-02,4.461579e+00,4.152354e-01
2.719599e-01,1.778082e-02,4.461571e+00,4.098700e-01
2.582250e-01,1.645999e-02,4.461562e+00,4.025035e-01
2.417367e-01,1.396751e-02,4.461552e+00,3.845354e-01
2.222787e-01,1.005566e-02,4.461539e+00,3.546464e-01
1.997865e-01,4.448544e-03,4.461524e+00,3.083527e-01
1.744030e-01,-3.015253e-03,4.461508e+00,2.400662e-01
1.465383e-01,-1.227823e-02,4.461489e+00,1.356361e-01
1.167898e-01,-2.281289e-02,4.461470e+00,-2.619763e-02
8.569927e-02,-3.313346e-02,4.461450e+00,-2.447021e-01
5.374998e-02,-4.074165e-02,4.461430e+00,-3.967819e-01
2.206076e-02,-4.401205e-02,4.461411e+00,-3.583490e-01
-7.683754e-03,-4.336264e-02,4.461393e+00,-1.819563e-01
-3.426215e-02,-4.025870e-02,4.461377e+00,2.872648e-02
-5.717439e-02,-3.593753e-02,4.461363e+00,2.353382e-01
-7.639328e-02,-3.106576e-02,4.461351e+00,4.378239e-01
-9.216499e-02,-2.609320e-02,4.461340e+00,6.378086e-01
-1.048603e-01,-2.123630e-02,4.461332e+00,8.333862e-01
-1.148314e-01,-1.646045e-02,4.461325e+00,9.934465e-01
-1.213685e-01,-1.093100e-02,4.461320e+00,1.754613e-01
-1.215340e-01,-5.006313e-03,4.461320e+00,-3.292288e+00
-1.159552e-01,4.370953e-04,4.461325e+00,-1.814002e+00
-1.074859e-01,5.749324e-03,4.461332e+00,-1.515944e+00
